Zipcode,Lat,Long,Risk
7006,40.83,-74.27,0
8809,40.63,-74.91,0
7933,40.7,-74.47,0
7934,40.72,-74.67,0
7607,40.9,-74.06,0
8833,40.64,-74.83,0
7962,40.79,-74.47,0
7438,41.04,-74.48,0
7051,40.76,-74.23,0
7653,40.94,-74.07,0
7506,40.95,-74.15,0
7058,40.86,-74.34,0
8890,40.53,-74.56,0
7871,41.04,-74.62,0
8504,40.4,-74.7,0
8110,39.96,-75.05,0
8212,38.93,-74.96,0
8311,39.32,-75.2,0
8021,39.8,-74.98,0
7740,40.29,-73.98,0
8347,39.54,-75.13,0
8065,40.0,-75.03,0
8535,40.21,-74.44,0
8742,40.09,-74.04,0
7702,40.32,-74.05,0
8555,40.22,-74.47,0
8620,40.22,-74.76,0
8093,39.86,-75.13,0
7477,40.92,-74.27,0
7711,40.23,-74.0,0
8004,39.76,-74.85,0
8502,40.46,-74.64,0
8732,39.94,-74.14,0
8043,39.84,-74.95,0
7739,40.33,-74.03,0
8053,39.9,-74.92,0
8223,39.26,-74.66,0
8063,39.86,-75.18,0
8067,39.73,-75.4,0
8751,39.94,-74.07,0
8248,39.19,-74.66,0
8560,40.31,-74.86,0
8754,39.95,-74.18,0
8625,40.22,-74.76,0
7821,40.98,-74.74,0
8805,40.56,-74.53,0
7008,40.58,-74.22,0
7013,40.86,-74.15,0
7014,40.86,-74.15,0
7628,40.94,-73.99,0
7022,40.81,-74.0,0
8825,40.52,-75.05,0
7428,41.2,-74.55,0
8933,40.48,-74.44,0
8862,40.52,-74.27,0
8873,40.49,-74.48,0
7079,40.74,-74.26,0
7666,40.88,-74.01,0
7086,40.76,-74.01,0
7881,41.12,-74.91,0
8203,39.41,-74.36,0
8313,39.49,-75.21,0
8048,39.96,-74.8,0
8059,39.88,-75.09,0
8075,40.03,-74.95,0
8556,40.42,-74.99,0
8628,40.22,-74.76,0
8629,40.22,-74.76,0
8647,40.22,-74.76,0
8252,39.04,-74.86,0
7826,41.14,-74.74,0
7928,40.74,-74.38,0
7643,40.84,-74.03,0
8848,40.56,-75.09,0
7046,40.89,-74.44,0
7191,40.72,-74.17,0
7976,40.73,-74.48,0
7052,40.79,-74.26,0
7508,40.93,-74.18,0
7510,40.91,-74.16,0
7512,40.9,-74.22,0
8863,40.54,-74.31,0
7663,40.9,-74.09,0
8871,40.46,-74.32,0
7980,40.68,-74.49,0
7195,40.72,-74.17,0
8005,39.75,-74.22,0
8022,40.06,-74.68,0
8033,39.89,-75.03,0
8069,39.72,-75.46,0
8611,40.22,-74.76,0
8096,39.83,-75.15,0
7401,41.03,-74.13,0
7620,40.95,-73.92,0
7827,41.29,-74.74,0
7803,40.87,-74.6,0
7935,40.74,-74.45,0
7699,40.85,-74.06,0
7642,41.0,-74.04,0
7961,40.79,-74.47,0
7189,40.72,-74.17,0
8903,40.48,-74.44,0
8906,40.48,-74.44,0
7647,41.0,-73.95,0
8865,40.68,-75.18,0
7012,40.86,-74.15,0
8812,40.58,-74.46,0
7033,40.67,-74.28,0
7855,41.06,-74.89,0
7856,40.91,-74.64,0
8858,40.66,-74.74,0
8861,40.52,-74.27,0
7978,40.66,-74.68,0
7446,41.05,-74.14,0
7072,40.82,-74.06,0
8885,40.58,-74.81,0
7876,40.85,-74.65,0
7082,40.93,-74.34,0
8014,39.8,-75.34,0
8034,39.9,-74.99,0
7721,40.43,-74.23,0
8026,39.83,-74.96,0
8042,39.95,-74.66,0
