ID;LATITUDE;LONGITUDE;SIZE;MonthPrice;PricePerSquareMeters
91081200;39.4610135;-0.3799785;90.0;700.0;8.0
91080742;39.4607845;-0.3885023;70.0;650.0;9.0
91080719;39.4609317;-0.3717739;65.0;800.0;12.0
91080667;39.4782286;-0.3785091;50.0;750.0;15.0
37400299;39.47131;-0.39951;110.0;690.0;6.0
31228403;39.4551827;-0.3461609;210.0;1800.0;9.0
91080257;39.4771965;-0.3544818;112.8;900.0;8.0
83620117;39.4896916;-0.3565602;123.0;800.0;7.0
88910369;39.4780872;-0.382042;62.0;700.0;11.0
90908882;39.4736589;-0.3821975;81.0;850.0;10.0
90948396;39.4580012;-0.3383819;98.0;800.0;8.0
90949734;39.4938891;-0.3609602;180.0;1100.0;6.0
90950166;39.4894943;-0.3604856;81.0;750.0;9.0
90992064;39.4736084;-0.3504793;95.0;850.0;9.0
91006101;39.4834176;-0.3576863;97.0;850.0;9.0
91006614;39.4836771;-0.3608167;69.0;700.0;10.0
91034932;39.4761058;-0.3500356;133.0;900.0;7.0
90857958;39.4845058;-0.3573362;104.0;950.0;9.0
91078828;39.4709665;-0.3527535;120.0;889.0;7.0
91078703;39.4837895;-0.380361;90.0;630.0;7.0
91078536;39.4934243;-0.3586199;120.0;900.0;8.0
91078220;39.4899891;-0.3640602;151.0;1100.0;7.0
27686252;39.464275;-0.3852885;130.0;800.0;6.0
91078109;39.4648288;-0.3818026;130.0;1000.0;8.0
91078081;39.4704841;-0.359029;118.0;1200.0;10.0
91078074;39.4726098;-0.3478047;136.0;1100.0;8.0
91078077;39.4625617;-0.3845768;100.0;770.0;8.0
91078054;39.4631399;-0.3686445;65.0;650.0;10.0
91078068;39.4629373;-0.3629679;140.0;1000.0;7.0
91078052;39.4786193;-0.3582098;112.0;800.0;7.0
91078049;39.4617355;-0.3730691;63.0;750.0;12.0
91078066;39.4605189;-0.3765465;50.0;650.0;13.0
91078033;39.4706231;-0.3704349;70.0;700.0;10.0
91077698;39.4707212;-0.3453223;95.0;749.0;8.0
91077606;39.4605573;-0.3517065;65.0;700.0;11.0
87544945;39.4634778;-0.3649687;100.0;800.0;8.0
91077453;39.4619237;-0.3883796;70.0;790.0;11.0
91077444;39.4715447;-0.3476469;120.0;800.0;7.0
90184909;39.4863091;-0.36491;112.0;750.0;7.0
91077368;39.4727468;-0.4014152;115.0;615.0;5.0
91077345;39.4569996;-0.3404261;54.0;750.0;14.0
91077219;39.4582238;-0.3731392;55.0;650.0;12.0
90743636;39.471136;-0.3937793;100.0;850.0;9.0
90750570;39.4480816;-0.3876256;104.0;750.0;7.0
91076692;39.4873594;-0.3735665;140.0;900.0;6.0
91076517;39.4693279;-0.3517289;117.0;780.0;7.0
91076422;39.4783027;-0.3560642;200.0;1400.0;7.0
91076399;39.4729641;-0.3332718;70.0;700.0;10.0
89922421;39.4743061;-0.3858895;159.0;1800.0;11.0
89922572;39.4983449;-0.3723471;112.0;900.0;8.0
91081200;39.4610135;-0.3799785;90.0;700.0;8.0
91080742;39.4607845;-0.3885023;70.0;650.0;9.0
91080719;39.4609317;-0.3717739;65.0;800.0;12.0
91080667;39.4782286;-0.3785091;50.0;750.0;15.0
37400299;39.47131;-0.39951;110.0;690.0;6.0
31228403;39.4551827;-0.3461609;210.0;1800.0;9.0
91080257;39.4771965;-0.3544818;112.8;900.0;8.0
83620117;39.4896916;-0.3565602;123.0;800.0;7.0
88910369;39.4780872;-0.382042;62.0;700.0;11.0
90908882;39.4736589;-0.3821975;81.0;850.0;10.0
90948396;39.4580012;-0.3383819;98.0;800.0;8.0
90949734;39.4938891;-0.3609602;180.0;1100.0;6.0
90950166;39.4894943;-0.3604856;81.0;750.0;9.0
90992064;39.4736084;-0.3504793;95.0;850.0;9.0
91006101;39.4834176;-0.3576863;97.0;850.0;9.0
91006614;39.4836771;-0.3608167;69.0;700.0;10.0
91034932;39.4761058;-0.3500356;133.0;900.0;7.0
90857958;39.4845058;-0.3573362;104.0;950.0;9.0
91078828;39.4709665;-0.3527535;120.0;889.0;7.0
91078703;39.4837895;-0.380361;90.0;630.0;7.0
91078536;39.4934243;-0.3586199;120.0;900.0;8.0
91078220;39.4899891;-0.3640602;151.0;1100.0;7.0
27686252;39.464275;-0.3852885;130.0;800.0;6.0
91078109;39.4648288;-0.3818026;130.0;1000.0;8.0
91078081;39.4704841;-0.359029;118.0;1200.0;10.0
91078074;39.4726098;-0.3478047;136.0;1100.0;8.0
91078077;39.4625617;-0.3845768;100.0;770.0;8.0
91078054;39.4631399;-0.3686445;65.0;650.0;10.0
91078068;39.4629373;-0.3629679;140.0;1000.0;7.0
91078052;39.4786193;-0.3582098;112.0;800.0;7.0
91078049;39.4617355;-0.3730691;63.0;750.0;12.0
91078066;39.4605189;-0.3765465;50.0;650.0;13.0
91078033;39.4706231;-0.3704349;70.0;700.0;10.0
91077698;39.4707212;-0.3453223;95.0;749.0;8.0
91077606;39.4605573;-0.3517065;65.0;700.0;11.0
87544945;39.4634778;-0.3649687;100.0;800.0;8.0
91077453;39.4619237;-0.3883796;70.0;790.0;11.0
91077444;39.4715447;-0.3476469;120.0;800.0;7.0
90184909;39.4863091;-0.36491;112.0;750.0;7.0
91077368;39.4727468;-0.4014152;115.0;615.0;5.0
91077345;39.4569996;-0.3404261;54.0;750.0;14.0
91077219;39.4582238;-0.3731392;55.0;650.0;12.0
90743636;39.471136;-0.3937793;100.0;850.0;9.0
90750570;39.4480816;-0.3876256;104.0;750.0;7.0
91076692;39.4873594;-0.3735665;140.0;900.0;6.0
91076517;39.4693279;-0.3517289;117.0;780.0;7.0
91076422;39.4783027;-0.3560642;200.0;1400.0;7.0
91076399;39.4729641;-0.3332718;70.0;700.0;10.0
89922421;39.4743061;-0.3858895;159.0;1800.0;11.0
89922572;39.4983449;-0.3723471;112.0;900.0;8.0
91081200;39.4610135;-0.3799785;90.0;700.0;8.0
91080742;39.4607845;-0.3885023;70.0;650.0;9.0
91080719;39.4609317;-0.3717739;65.0;800.0;12.0
91080667;39.4782286;-0.3785091;50.0;750.0;15.0
37400299;39.47131;-0.39951;110.0;690.0;6.0
31228403;39.4551827;-0.3461609;210.0;1800.0;9.0
91080257;39.4771965;-0.3544818;112.8;900.0;8.0
83620117;39.4896916;-0.3565602;123.0;800.0;7.0
88910369;39.4780872;-0.382042;62.0;700.0;11.0
90908882;39.4736589;-0.3821975;81.0;850.0;10.0
90948396;39.4580012;-0.3383819;98.0;800.0;8.0
90949734;39.4938891;-0.3609602;180.0;1100.0;6.0
90950166;39.4894943;-0.3604856;81.0;750.0;9.0
90992064;39.4736084;-0.3504793;95.0;850.0;9.0
91006101;39.4834176;-0.3576863;97.0;850.0;9.0
91006614;39.4836771;-0.3608167;69.0;700.0;10.0
91034932;39.4761058;-0.3500356;133.0;900.0;7.0
90857958;39.4845058;-0.3573362;104.0;950.0;9.0
91078828;39.4709665;-0.3527535;120.0;889.0;7.0
91078703;39.4837895;-0.380361;90.0;630.0;7.0
91078536;39.4934243;-0.3586199;120.0;900.0;8.0
91078220;39.4899891;-0.3640602;151.0;1100.0;7.0
27686252;39.464275;-0.3852885;130.0;800.0;6.0
91078109;39.4648288;-0.3818026;130.0;1000.0;8.0
91078081;39.4704841;-0.359029;118.0;1200.0;10.0
91078074;39.4726098;-0.3478047;136.0;1100.0;8.0
91078077;39.4625617;-0.3845768;100.0;770.0;8.0
91078054;39.4631399;-0.3686445;65.0;650.0;10.0
91078068;39.4629373;-0.3629679;140.0;1000.0;7.0
91078052;39.4786193;-0.3582098;112.0;800.0;7.0
91078049;39.4617355;-0.3730691;63.0;750.0;12.0
91078066;39.4605189;-0.3765465;50.0;650.0;13.0
91078033;39.4706231;-0.3704349;70.0;700.0;10.0
91077698;39.4707212;-0.3453223;95.0;749.0;8.0
91077606;39.4605573;-0.3517065;65.0;700.0;11.0
87544945;39.4634778;-0.3649687;100.0;800.0;8.0
91077453;39.4619237;-0.3883796;70.0;790.0;11.0
91077444;39.4715447;-0.3476469;120.0;800.0;7.0
90184909;39.4863091;-0.36491;112.0;750.0;7.0
91077368;39.4727468;-0.4014152;115.0;615.0;5.0
91077345;39.4569996;-0.3404261;54.0;750.0;14.0
91077219;39.4582238;-0.3731392;55.0;650.0;12.0
90743636;39.471136;-0.3937793;100.0;850.0;9.0
90750570;39.4480816;-0.3876256;104.0;750.0;7.0
91076692;39.4873594;-0.3735665;140.0;900.0;6.0
91076517;39.4693279;-0.3517289;117.0;780.0;7.0
91076422;39.4783027;-0.3560642;200.0;1400.0;7.0
91076399;39.4729641;-0.3332718;70.0;700.0;10.0
89922421;39.4743061;-0.3858895;159.0;1800.0;11.0
89922572;39.4983449;-0.3723471;112.0;900.0;8.0
91081200;39.4610135;-0.3799785;90.0;700.0;8.0
91080742;39.4607845;-0.3885023;70.0;650.0;9.0
91080719;39.4609317;-0.3717739;65.0;800.0;12.0
91080667;39.4782286;-0.3785091;50.0;750.0;15.0
37400299;39.47131;-0.39951;110.0;690.0;6.0
31228403;39.4551827;-0.3461609;210.0;1800.0;9.0
91080257;39.4771965;-0.3544818;112.8;900.0;8.0
83620117;39.4896916;-0.3565602;123.0;800.0;7.0
88910369;39.4780872;-0.382042;62.0;700.0;11.0
90908882;39.4736589;-0.3821975;81.0;850.0;10.0
90948396;39.4580012;-0.3383819;98.0;800.0;8.0
90949734;39.4938891;-0.3609602;180.0;1100.0;6.0
90950166;39.4894943;-0.3604856;81.0;750.0;9.0
90992064;39.4736084;-0.3504793;95.0;850.0;9.0
91006101;39.4834176;-0.3576863;97.0;850.0;9.0
91006614;39.4836771;-0.3608167;69.0;700.0;10.0
91034932;39.4761058;-0.3500356;133.0;900.0;7.0
90857958;39.4845058;-0.3573362;104.0;950.0;9.0
91078828;39.4709665;-0.3527535;120.0;889.0;7.0
